Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cluster
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.26400000000001,2.0,0.2,1.1016000000000012,0
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6.0,0.2,9.7092,0
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858000000000004,6.0,0.7,-5.714999999999996,0
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.759999999999991,2.0,0.2,3.5459999999999994,0
Second Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,29.47200000000001,3.0,0.2,9.9468,0
First Class,Corporate,United States,Richardson,Texas,Central,Technology,Phones,1097.544,7.0,0.2,123.47370000000001,0
First Class,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,190.92,5.0,0.6,28.770872676991154,0
Standard Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,113.32800000000002,9.0,0.2,35.415,0
Standard Class,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,532.3992,3.0,0.32,28.770872676991154,0
Standard Class,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,212.058,3.0,0.3,-15.146999999999998,0
Standard Class,Home Office,United States,Houston,Texas,Central,Technology,Phones,371.168,4.0,0.2,41.7564,0
Standard Class,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,147.168,4.0,0.2,16.5564,0
Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,77.88,2.0,0.0,3.8939999999999984,0
Standard Class,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,95.61599999999999,2.0,0.2,9.561599999999999,0
First Class,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,45.97999999999999,2.0,0.0,19.7714,0
First Class,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,17.460000000000008,2.0,0.0,8.206200000000003,0
Second Class,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,211.96,4.0,0.0,8.4784,0
Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Accessories,45.0,3.0,0.0,4.949999999999999,0
Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Phones,21.799999999999983,2.0,0.0,6.103999999999999,0
Standard Class,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6.0,0.0,17.9634,0
Standard Class,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6.0,0.0,35.3346,0
Standard Class,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,6.160000000000025,2.0,0.0,2.956800000000001,0
Standard Class,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,89.99000000000001,1.0,0.0,17.0981,0
Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,15.259999999999962,7.0,0.0,6.256599999999999,0
Standard Class,Corporate,United States,New York City,New York,East,Technology,Phones,1029.9500000000003,5.0,0.0,298.6855,0
First Class,Consumer,United States,Troy,New York,East,Office Supplies,Storage,208.56,6.0,0.0,52.14,0
First Class,Consumer,United States,Troy,New York,East,Office Supplies,Paper,32.400000000000006,5.0,0.0,15.552,0
First Class,Consumer,United States,Troy,New York,East,Furniture,Chairs,319.41,5.0,0.1,7.097999999999999,0
First Class,Consumer,United States,Troy,New York,East,Office Supplies,Paper,14.560000000000002,2.0,0.0,6.988800000000001,0
First Class,Consumer,United States,Troy,New York,East,Technology,Accessories,30.0,2.0,0.0,3.3000000000000007,0
First Class,Consumer,United States,Troy,New York,East,Office Supplies,Binders,48.47999999999999,4.0,0.2,16.362,0
First Class,Consumer,United States,Troy,New York,East,Office Supplies,Art,1.6800000000000068,1.0,0.0,0.8399999999999999,0
Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,13.97999999999999,2.0,0.0,6.151199999999999,0
Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,25.824000000000012,6.0,0.2,9.3612,0
Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,146.73,3.0,0.0,68.9631,0
Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,79.75999999999999,4.0,0.0,22.3328,0
Standard Class,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,213.115,5.0,0.3,-15.222500000000004,0
Standard Class,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8.0,0.2,111.3024,0
Standard Class,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,167.968,4.0,0.2,62.988,0
First Class,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,75.88,2.0,0.0,35.6636,0
Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,4.616000000000014,1.0,0.2,1.7310000000000016,0
Second Class,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,19.05000000000004,3.0,0.0,8.762999999999998,0
Standard Class,Consumer,United States,Memphis,Tennessee,South,Furniture,Chairs,831.936,8.0,0.2,28.770872676991154,0
Standard Class,Consumer,United States,Memphis,Tennessee,South,Furniture,Furnishings,97.04000000000002,2.0,0.2,1.213000000000001,0
Standard Class,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,72.78399999999999,1.0,0.2,-18.196000000000005,0
First Class,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,1.2479999999999905,3.0,0.8,-1.9344000000000001,0
First Class,Corporate,United States,Houston,Texas,Central,Furniture,Furnishings,9.707999999999998,3.0,0.6,-5.824800000000003,0
First Class,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,27.24000000000001,3.0,0.2,2.724,0
Second Class,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,19.30000000000001,5.0,0.6,-14.475000000000001,0
First Class,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1.0,0.0,56.2032,0
First Class,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,16.74000000000001,3.0,0.0,8.0352,0
Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,14.900000000000006,5.0,0.0,4.172000000000001,0
Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,21.389999999999986,1.0,0.0,6.203099999999999,0
Standard Class,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7.0,0.2,62.8075,0
First Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3.0,0.2,28.770872676991154,0
Second Class,Consumer,United States,Columbia,South Carolina,South,Furniture,Chairs,301.96,2.0,0.0,33.2156,0
Standard Class,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,19.99000000000001,1.0,0.0,6.796599999999998,0
Standard Class,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,6.160000000000025,2.0,0.0,2.956800000000001,0
Second Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,158.368,7.0,0.2,13.857199999999999,0
Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,20.099999999999994,3.0,0.0,6.632999999999999,0
Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Phones,73.58400000000003,2.0,0.2,8.278199999999998,0
Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,6.47999999999999,1.0,0.0,3.1103999999999985,0
Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.960000000000008,2.0,0.0,6.2208000000000006,0
Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3.0,0.0,16.5354,0
Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.960000000000036,2.0,0.0,16.1504,0
Standard Class,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,5.681999999999988,1.0,0.7,-3.7879999999999967,0
Second Class,Home Office,United States,New York City,New York,East,Furniture,Furnishings,96.53,7.0,0.0,40.5426,0
First Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,51.31200000000001,3.0,0.2,17.9592,0
Standard Class,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6.0,0.0,22.5852,0
Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7.0,0.2,22.6184,0
Standard Class,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,95.976,3.0,0.2,-10.7973,0
Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,1.788000000000011,3.0,0.8,-3.0396000000000036,0
Second Class,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,23.920000000000016,4.0,0.0,11.7208,0
Standard Class,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,238.896,6.0,0.2,-26.875800000000005,0
Standard Class,Consumer,United States,Aurora,Colorado,West,Furniture,Furnishings,102.36000000000001,3.0,0.2,-3.8385000000000034,0
Standard Class,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,36.882000000000005,3.0,0.7,-25.8174,0
Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,74.112,8.0,0.2,17.6016,0
Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,27.991999999999962,1.0,0.2,2.0993999999999993,0
Standard Class,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,3.304000000000002,1.0,0.2,1.0737999999999985,0
Standard Class,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,339.96,5.0,0.2,67.992,0
Standard Class,Corporate,United States,New York City,New York,East,Furniture,Furnishings,41.960000000000036,2.0,0.0,10.909599999999998,0
Standard Class,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,75.95999999999998,2.0,0.0,22.788,0
Standard Class,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,27.24000000000001,6.0,0.0,13.3476,0
Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,40.096000000000004,14.0,0.2,14.5348,0
Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,4.71999999999997,2.0,0.2,1.652000000000001,0
Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,23.976,3.0,0.2,7.4925,0
Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6.0,0.2,44.0316,0
Standard Class,Consumer,United States,Seattle,Washington,West,Furniture,Tables,787.53,3.0,0.0,165.3813,0
Standard Class,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,157.794,1.0,0.7,28.770872676991154,0
First Class,Consumer,United States,Wilmington,Delaware,East,Furniture,Furnishings,47.03999999999999,3.0,0.0,18.3456,0
First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,30.840000000000003,4.0,0.0,13.878000000000002,0
First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6.0,0.0,63.4368,0
First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02000000000001,9.0,0.0,51.759,0
First Class,Consumer,United States,Wilmington,Delaware,East,Technology,Phones,68.03999999999999,7.0,0.0,19.7316,0
Second Class,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,600.558,3.0,0.3,-8.5794,0
Standard Class,Consumer,United States,Bloomington,Illinois,Central,Furniture,Tables,617.7,6.0,0.5,28.770872676991154,0
Standard Class,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Binders,2.3880000000000052,2.0,0.7,-1.8308,0
Standard Class,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,243.992,7.0,0.2,30.499,0
Second Class,Home Office,United States,Los Angeles,California,West,Furniture,Chairs,81.424,2.0,0.2,-9.160199999999996,0
Second Class,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,238.56,3.0,0.0,26.2416,0
First Class,Corporate,United States,Columbus,Ohio,East,Technology,Phones,59.97,5.0,0.4,-11.994,0
First Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,78.304,2.0,0.2,29.364,0
First Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,21.456000000000017,9.0,0.2,6.9731999999999985,0
Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Paper,20.039999999999992,3.0,0.0,9.6192,0
Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Paper,35.44,1.0,0.0,16.6568,0
Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Art,11.52000000000001,4.0,0.0,3.4559999999999995,0
Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Fasteners,4.02000000000001,2.0,0.0,1.9697999999999993,0
Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Binders,76.17599999999999,3.0,0.2,26.6616,0
Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Supplies,65.87999999999997,6.0,0.0,18.4464,0
Standard Class,Consumer,United States,Roseville,California,West,Furniture,Furnishings,43.119999999999976,14.0,0.0,20.6976,0
Second Class,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.80000000000001,2.0,0.2,10.350000000000001,0
Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Art,8.819999999999993,3.0,0.0,2.3813999999999993,0
Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Envelopes,10.860000000000014,3.0,0.0,5.104199999999999,0
Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Paper,143.7,3.0,0.0,68.976,0
Standard Class,Consumer,United States,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3.0,0.0,218.2518,0
Standard Class,Consumer,United States,Pasadena,California,West,Office Supplies,Storage,671.9300000000001,7.0,0.0,20.1579,0
Standard Class,Home Office,United States,Newark,Ohio,East,Furniture,Furnishings,93.888,4.0,0.2,12.9096,0
Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,384.45,11.0,0.0,103.8015,0
Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,149.97,3.0,0.0,5.998799999999999,0
Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Furniture,Chairs,1951.8400000000001,8.0,0.0,585.552,1
Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5.0,0.0,80.6285,0
First Class,Home Office,United States,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5.0,0.2,17.766,0
First Class,Home Office,United States,Scottsdale,Arizona,West,Technology,Phones,203.184,2.0,0.2,15.2388,0
First Class,Corporate,United States,San Jose,California,West,Office Supplies,Paper,58.379999999999995,7.0,0.0,26.271,0
First Class,Corporate,United States,San Jose,California,West,Office Supplies,Paper,105.52,4.0,0.0,48.5392,0
First Class,Corporate,United States,San Jose,California,West,Office Supplies,Storage,80.88,6.0,0.0,21.0288,0
Standard Class,Home Office,United States,Seattle,Washington,West,Office Supplies,Art,6.6299999999999955,3.0,0.0,1.790099999999999,0
Second Class,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,457.568,2.0,0.2,51.4764,0
Standard Class,Consumer,United States,Edmond,Oklahoma,Central,Office Supplies,Labels,14.620000000000005,2.0,0.0,6.871400000000001,0
Standard Class,Consumer,United States,Edmond,Oklahoma,Central,Technology,Phones,944.93,7.0,0.0,236.2325,0
First Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,5.97999999999999,1.0,0.0,2.690999999999999,0
Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,54.383999999999986,2.0,0.2,1.3596000000000004,0
Standard Class,Consumer,United States,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.400000000000006,5.0,0.0,13.348,0
Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,27.680000000000007,2.0,0.2,9.688000000000002,0
Standard Class,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,9.936000000000007,3.0,0.2,2.7323999999999984,0
Standard Class,Consumer,United States,San Antonio,Texas,Central,Technology,Machines,8159.951999999999,8.0,0.4,28.770872676991154,1
Standard Class,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Storage,275.928,3.0,0.2,28.770872676991154,0
Standard Class,Consumer,United States,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9.0,0.3,-24.857999999999997,0
Standard Class,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,32.063999999999965,6.0,0.2,6.813600000000001,0
Standard Class,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,5.0,0.8,28.770872676991154,0
Standard Class,Consumer,United States,San Antonio,Texas,Central,Technology,Phones,143.976,3.0,0.2,8.9985,0
Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,20.939999999999998,3.0,0.0,9.8418,0
Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,110.96,2.0,0.0,53.2608,0
Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Chairs,340.144,7.0,0.2,21.259,0
Standard Class,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Appliances,52.44800000000001,2.0,0.8,28.770872676991154,0
Standard Class,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Labels,20.159999999999997,4.0,0.2,6.552,0
Second Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Appliances,97.26400000000001,4.0,0.8,28.770872676991154,0
Second Class,Consumer,United States,Newark,Ohio,East,Furniture,Chairs,396.802,7.0,0.3,-11.337200000000003,0
Second Class,Consumer,United States,Newark,Ohio,East,Office Supplies,Supplies,15.880000000000024,5.0,0.2,-3.771500000000003,0
Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Art,3.280000000000001,1.0,0.0,1.4103999999999992,0
Second Class,Corporate,United States,Decatur,Illinois,Central,Office Supplies,Storage,24.816000000000003,2.0,0.2,1.8612000000000002,0
Second Class,Corporate,United States,Decatur,Illinois,Central,Technology,Accessories,408.744,7.0,0.2,76.6395,0
Second Class,Home Office,United States,Monroe,Louisiana,South,Technology,Phones,503.96,4.0,0.0,131.0296,0
Second Class,Home Office,United States,Monroe,Louisiana,South,Technology,Phones,149.95,5.0,0.0,41.986,0
Second Class,Home Office,United States,Monroe,Louisiana,South,Technology,Accessories,29.0,2.0,0.0,7.25,0
Standard Class,Consumer,United States,Fairfield,Connecticut,East,Office Supplies,Binders,7.159999999999997,2.0,0.0,3.436799999999998,0
Standard Class,Home Office,United States,Los Angeles,California,West,Technology,Accessories,176.8,8.0,0.0,22.984,0
Standard Class,Corporate,United States,Grand Prairie,Texas,Central,Office Supplies,Storage,37.22399999999999,3.0,0.2,3.7224000000000004,0
Standard Class,Corporate,United States,Grand Prairie,Texas,Central,Office Supplies,Paper,20.015999999999963,3.0,0.2,6.254999999999999,0
First Class,Home Office,United States,New York City,New York,East,Furniture,Bookcases,899.136,4.0,0.2,112.392,0
First Class,Home Office,United States,New York City,New York,East,Technology,Phones,71.75999999999999,6.0,0.0,20.0928,0
First Class,Home Office,United States,New York City,New York,East,Office Supplies,Paper,51.84,8.0,0.0,24.8832,0
First Class,Home Office,United States,New York City,New York,East,Furniture,Bookcases,626.352,3.0,0.2,46.9764,0
First Class,Home Office,United States,New York City,New York,East,Office Supplies,Art,19.900000000000006,5.0,0.0,6.567,0
Standard Class,Corporate,United States,Redlands,California,West,Office Supplies,Envelopes,14.280000000000001,7.0,0.0,6.711600000000001,0
Standard Class,Consumer,United States,Hamilton,Ohio,East,Office Supplies,Art,7.407999999999987,2.0,0.2,1.203800000000001,0
Standard Class,Consumer,United States,Hamilton,Ohio,East,Office Supplies,Art,6.048000000000002,3.0,0.2,1.5875999999999983,0
Standard Class,Home Office,United States,Westfield,New Jersey,East,Office Supplies,Storage,46.25999999999999,3.0,0.0,12.0276,0
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.945999999999998,2.0,0.7,-2.258600000000005,0
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.05600000000001,3.0,0.2,5.8203,0
Standard Class,Consumer,United States,Akron,Ohio,East,Office Supplies,Paper,21.744,3.0,0.2,6.795000000000002,0
First Class,Consumer,United States,Denver,Colorado,West,Furniture,Tables,218.75,2.0,0.5,28.770872676991154,0
First Class,Consumer,United States,Denver,Colorado,West,Office Supplies,Appliances,2.6000000000000227,1.0,0.2,0.2925000000000004,0
Second Class,Consumer,United States,Dallas,Texas,Central,Office Supplies,Appliances,66.28399999999999,2.0,0.8,28.770872676991154,0
Standard Class,Corporate,United States,Franklin,Tennessee,South,Furniture,Furnishings,35.168000000000006,7.0,0.2,9.671199999999999,0
Standard Class,Consumer,United States,Whittier,California,West,Technology,Phones,444.768,4.0,0.2,44.4768,0
Standard Class,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,Storage,83.92000000000002,4.0,0.0,5.874400000000001,0
Standard Class,Consumer,United States,Saginaw,Michigan,Central,Technology,Phones,131.98,2.0,0.0,35.6346,0
Standard Class,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,Binders,15.919999999999987,4.0,0.0,7.482399999999998,0
Standard Class,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.28999999999999,9.0,0.0,16.2099,0
Standard Class,Consumer,United States,Saginaw,Michigan,Central,Office Supplies,Storage,91.99000000000001,1.0,0.0,3.6796000000000006,0
Second Class,Corporate,United States,Dallas,Texas,Central,Technology,Accessories,20.80000000000001,2.0,0.2,6.5,0
Standard Class,Corporate,United States,Medina,Ohio,East,Office Supplies,Labels,23.680000000000007,2.0,0.2,8.880000000000003,0
Standard Class,Corporate,United States,Medina,Ohio,East,Furniture,Bookcases,452.45,5.0,0.5,28.770872676991154,0
Standard Class,Corporate,United States,Medina,Ohio,East,Technology,Phones,62.982,3.0,0.4,-14.695799999999998,0
Standard Class,Corporate,United States,Medina,Ohio,East,Technology,Machines,1188.0,9.0,0.7,28.770872676991154,0
Standard Class,Corporate,United States,Medina,Ohio,East,Technology,Accessories,89.584,2.0,0.2,4.479199999999999,0
Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Storage,93.06,6.0,0.0,26.0568,0
Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,302.376,3.0,0.2,22.6782,0
First Class,Consumer,United States,Dublin,Ohio,East,Office Supplies,Fasteners,5.584000000000003,2.0,0.2,1.8147999999999982,0
First Class,Consumer,United States,Dublin,Ohio,East,Office Supplies,Paper,22.704000000000008,6.0,0.2,8.2302,0
First Class,Consumer,United States,Dublin,Ohio,East,Office Supplies,Binders,19.77600000000001,4.0,0.7,-13.843200000000003,0
First Class,Consumer,United States,Dublin,Ohio,East,Furniture,Furnishings,72.70400000000001,4.0,0.2,19.0848,0
First Class,Consumer,United States,Dublin,Ohio,East,Technology,Machines,479.988,4.0,0.7,28.770872676991154,0
First Class,Consumer,United States,Dublin,Ohio,East,Office Supplies,Art,27.168000000000006,2.0,0.2,2.716799999999999,0
Standard Class,Corporate,United States,Detroit,Michigan,Central,Office Supplies,Art,2.1999999999999886,1.0,0.0,0.968,0
Standard Class,Corporate,United States,Detroit,Michigan,Central,Furniture,Tables,622.45,5.0,0.0,136.939,0
Standard Class,Corporate,United States,Detroit,Michigan,Central,Office Supplies,Storage,21.97999999999999,1.0,0.0,0.21979999999999933,0
Standard Class,Consumer,United States,Columbia,Tennessee,South,Furniture,Chairs,161.568,2.0,0.2,-28.2744,0
Standard Class,Consumer,United States,Columbia,Tennessee,South,Furniture,Chairs,389.696,8.0,0.2,43.8408,0
Standard Class,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Binders,18.647999999999968,7.0,0.7,-12.432000000000002,0
Standard Class,Home Office,United States,Tampa,Florida,South,Furniture,Tables,233.86,2.0,0.45000000000000007,28.770872676991154,0
Standard Class,Home Office,United States,Tampa,Florida,South,Furniture,Tables,620.6144999999999,3.0,0.45000000000000007,28.770872676991154,0
Standard Class,Home Office,United States,Tampa,Florida,South,Office Supplies,Binders,5.328000000000003,2.0,0.7,-3.5519999999999996,0
Standard Class,Home Office,United States,Tampa,Florida,South,Furniture,Furnishings,258.072,3.0,0.2,0.0,0
